week_sort,value,type,Season,Age Group
År 1 uge 37,298.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 37,58.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 38,0.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 38,0.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 38,0.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 38,1.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 38,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 38,294.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 38,103.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 39,0.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 39,0.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 39,1.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 39,3.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 39,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 39,290.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 39,123.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 40,1.0,cases,2015/2016,01. 0-5 måneder
År 1 uge 40,2.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 40,1.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 40,2.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 40,0.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 40,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 40,247.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 40,165.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 41,0.0,cases,2015/2016,01. 0-5 måneder
År 1 uge 41,0.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 41,0.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 41,2.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 41,1.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 41,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 41,190.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 41,214.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 42,0.0,cases,2015/2016,01. 0-5 måneder
År 1 uge 42,2.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 42,2.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 42,0.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 42,2.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 42,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 42,133.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 42,246.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 43,3.0,cases,2015/2016,01. 0-5 måneder
År 1 uge 43,3.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 43,0.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 43,1.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 43,4.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 43,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 43,82.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 43,251.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 44,0.0,cases,2015/2016,01. 0-5 måneder
